US Stock(Korean Won),,,,,,,,,,
Name,Symbol,Value,Shares,Cost Basis,Total Cost,Current Price,Price USD,Total gained,Total gained %,Type
Palantir,PLTR,"118,625,611",609,"44,456","27,073,704","194,788",$135.68,"91,551,907",338%,US Stock
Tesla,TSLA,"71,378,205",116,"284,358","32,985,528","615,329",$428.61,"38,392,677",116%,US Stock
Ionq,IONQ,"33,776,286",700,"21,449","15,014,300","48,252",$33.61,"18,761,986",125%,US Stock
Nvidia,NVDA,"32,734,299",120,"100,599","12,071,880","272,786",$190.01,"20,662,419",171%,US Stock
Rocketlab,RKLB,"20,492,531",205,"35,853","7,349,865","99,964",$69.63,"13,142,666",179%,US Stock
Strategy,MSTR,"3,621,831",20,"164,858","3,297,160","181,092",$126.14,"324,671",10%,US Stock
SEALSQ,LAES,"5,742,557","1,000","5,982","5,982,000","5,743",$4.00,"-239,443",-4%,US Stock
AbCellera,ABCL,"1,038,010",231,"6,078","1,404,018","4,494",$3.13,"-366,008",-26%,US Stock
IREN,IREN,"1,960,279",32,64243,"2,055,776","61,259",$42.67,"-95,497",-5%,US Stock
TRX,TRX,"1,241,828",₩500,"₩3,204","1,602,000","2,484",$1.73,"-360,172",-22%,US Stock
Total,,"₩289,369,609",,,"₩107,234,231",,,"₩182,135,378",169.85%,
,,,,,,,,,,
Crypto,,,,,,,,,,
Name,Symbol,Value,Shares,Cost Basis,Total Cost,Current Price,Price USD,Total gained,Total gained %,Type
Bitcoin,BTC,"130,095,179",1.3474,"120,225,504","161,987,188","96,555,528","$67,256.12","-31,892,008",-19.69%,Crypto
Etherium,ETH,"45,342,023",16,"2,043,674","32,698,784","2,833,876","$1,973.95","12,643,239",38.67%,Crypto
Ripple,XRP,"3,664,272",1841,"3,400","6,259,400","1,990",$1.39,"-2,595,128",-41.46%,Crypto
Stellar,XLM,"5,492,182",24000,993,"23,832,000",229,$0.16,"-18,339,818",-76.95%,Crypto
Cardano,ADA,"3,609,487",9500,"1,050","9,975,000",380,$0.26,"-6,365,513",-63.81%,Crypto
,,,,,,,,,,
Total,,"₩188,203,143",,,"₩234,752,372",,,"-₩46,549,229",-19.83%,
,,,,,,,,,,
Korean ETF and Stock,,,,,,,,,,
Name,Symbol,Value,Shares,Cost Basis,Total Cost,Current Price,Price USD,Total gained,Total gained %,Type
Tiger 미국테크TOP10,381170,"4,184,895",143,"26,390","3,773,770","29,265",$20.38,"411,125",11%,미래에셋
Tiger 미국S&P500,360750,"1,294,800",52,"20,080","1,044,160","24,900",$17.34,"250,640",24%,미래에셋
Tiger 미국나스닥100,133690,"12,896,000",80,"61,153","4,892,240","161,200",$112.28,"8,003,760",164%,키움
Tiger 미국S&P500,360750,"7,470,000",300,"13,891","4,167,300","24,900",$17.34,"3,302,700",79%,키움
Kodex 미국빅테크,314250,"5,014,000",100,"24,124","2,412,400","50,140",$34.93,"2,601,600",108%,키움
Kodex 미국AI테크TOP10,485540,"8,508,000",600,"9,867","5,920,200","14,180",$9.88,"2,587,800",44%,키움
1Q 미국우주항공테크,0131V0,"3,833,940",314,"14,810","4,650,340",12210,$8.50,"-816,400",-18%,키움
Kodex 미국나스닥100,379810,"482,600",20,"15,870","317,400","24,130",$16.81,"165,200",52%,키움
Kodex 200,69500,409875,5,55635,"278,175",81975,$57.10,"131,700",47%,키움
Samsung Electronics ,005930,21967800,123,152437,"18,749,751",178600,$124.40,"3,218,049",17%,키움
Hyundai Motors,005380,10120000,20,419000,"8,380,000",506000,$352.46,"1,740,000",21%,키움
SK Hynix,000660,8880000,10,745000,"7,450,000",888000,$618.54,"1,430,000",19%,키움
,,,,,,,,,,
Total,,"₩85,061,910",,,"₩62,035,736",,,"₩23,026,174",37.12%,
,,,,,,,,,,
Total Assets,,"₩562,634,662",,,,,,,,
Total Gained,,"₩158,612,323",,,,,,,,
Total Gaine %,,39.26%,,,,,,,,
